   Log   |             Time stamp            |     Time since     |    Total time    | 
  level  |                                   |    previous log    |    since boot    | 
---------------------------------------------------------------------------------------
 Debug   | 2017-02-20T14:57:04.1019971+07:00 | 0:00:00:00.3924899 | 00:00:53.7460695 | [GetResourceAsync] - for Resource '102/111'; Try download Resource Finished 00:00:01.0950437;
 Debug   | 2017-02-20T14:57:04.2435806+07:00 | 0:00:00:00.1415835 | 00:00:53.8876530 | [GetResourceAsync] - for Resource '104/1010217'; Try download Resource Finished 00:00:01.2100122;
 Debug   | 2017-02-20T14:57:04.2445753+07:00 | 0:00:00:00.0009947 | 00:00:53.8886477 | [GetResourceAsync] - for Resource '102/116'; Getting took 0:00:00:01.3107920;
 Debug   | 2017-02-20T14:57:04.2456008+07:00 | 0:00:00:00.0010255 | 00:00:53.8896732 | [GetResourceAsync] - for Resource '102/110'; Getting took 0:00:00:01.3130427;
 Debug   | 2017-02-20T14:57:04.2826052+07:00 | 0:00:00:00.0370044 | 00:00:53.9266776 | [GetResourceAsync] - for Resource '110/2'; Getting took 0:00:00:41.0874049;
 Debug   | 2017-02-20T14:57:04.3026185+07:00 | 0:00:00:00.0200133 | 00:00:53.9466909 | [GetMetadataAsync] - for Resource '102'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.3026185+07:00 | 0:00:00:00.0000000 | 00:00:53.9466909 | [GetMetadataAsync] - for Resource '102'; Try get Manifest-file Finished 00:00:00.0000833;
 Debug   | 2017-02-20T14:57:04.3026185+07:00 | 0:00:00:00.0000000 | 00:00:53.9466909 | [GetMetadataAsync] - for Resource '102'; Getting took 0:00:00:00.0001218;
 Debug   | 2017-02-20T14:57:04.3031407+07:00 | 0:00:00:00.0005222 | 00:00:53.9472131 | [GetMetadataAsync] - for Resource '102'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.3031407+07:00 | 0:00:00:00.0000000 | 00:00:53.9472131 | [GetMetadataAsync] - for Resource '102'; Try get Manifest-file Finished 00:00:00.0000461;
 Debug   | 2017-02-20T14:57:04.3031407+07:00 | 0:00:00:00.0000000 | 00:00:53.9472131 | [GetMetadataAsync] - for Resource '102'; Getting took 0:00:00:00.0000778;
 Debug   | 2017-02-20T14:57:04.3031407+07:00 | 0:00:00:00.0000000 | 00:00:53.9472131 | [GetMetadataAsync] - for Resource '110'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.3031407+07:00 | 0:00:00:00.0000000 | 00:00:53.9472131 | [GetMetadataAsync] - for Resource '110'; Try get Manifest-file Finished 00:00:00.0000393;
 Debug   | 2017-02-20T14:57:04.3031407+07:00 | 0:00:00:00.0000000 | 00:00:53.9472131 | [GetMetadataAsync] - for Resource '110'; Getting took 0:00:00:00.0000722;
 Debug   | 2017-02-20T14:57:04.5855058+07:00 | 0:00:00:00.2823651 | 00:00:54.2295782 | [GetResourceAsync] - for Resource '110/3'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.5855058+07:00 | 0:00:00:00.0000000 | 00:00:54.2295782 | [GetResourceAsync] - for Resource '110/3'; Try get Manifest-file Finished 00:00:00.0012547;
 Debug   | 2017-02-20T14:57:04.5865065+07:00 | 0:00:00:00.0010007 | 00:00:54.2305789 | [GetResourceAsync] - for Resource '102/111'; Getting took 0:00:00:01.6478783;
 Debug   | 2017-02-20T14:57:04.6870336+07:00 | 0:00:00:00.1005271 | 00:00:54.3311060 | [GetResourceAsync] - for Resource '103/101'; Try download Resource Finished 00:00:42.9456970;
 Debug   | 2017-02-20T14:57:04.6940389+07:00 | 0:00:00:00.0070053 | 00:00:54.3381113 | [GetResourceAsync] - for Resource '110/3'; Try download Resource Started;
 Debug   | 2017-02-20T14:57:04.7110501+07:00 | 0:00:00:00.0170112 | 00:00:54.3551225 | [GetMetadataAsync] - for Resource '102'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.7110501+07:00 | 0:00:00:00.0000000 | 00:00:54.3551225 | [GetMetadataAsync] - for Resource '102'; Try get Manifest-file Finished 00:00:00.0000970;
 Debug   | 2017-02-20T14:57:04.7110501+07:00 | 0:00:00:00.0000000 | 00:00:54.3551225 | [GetMetadataAsync] - for Resource '102'; Getting took 0:00:00:00.0001548;
 Debug   | 2017-02-20T14:57:04.7460817+07:00 | 0:00:00:00.0350316 | 00:00:54.3901541 | [GetResourceAsync] - for Resource '104/1010217'; Getting took 0:00:00:01.7238957;
 Debug   | 2017-02-20T14:57:04.8711694+07:00 | 0:00:00:00.1250877 | 00:00:54.5152418 | [GetMetadataAsync] - for Resource '104'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.8711694+07:00 | 0:00:00:00.0000000 | 00:00:54.5152418 | [GetMetadataAsync] - for Resource '104'; Try get Manifest-file Finished 00:00:00.0007471;
 Debug   | 2017-02-20T14:57:04.8711694+07:00 | 0:00:00:00.0000000 | 00:00:54.5152418 | [GetMetadataAsync] - for Resource '104'; Getting took 0:00:00:00.0007988;
 Debug   | 2017-02-20T14:57:04.8716697+07:00 | 0:00:00:00.0005003 | 00:00:54.5157421 | [GetResourceAsync] - for Resource '104/1010117'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.8716697+07:00 | 0:00:00:00.0000000 | 00:00:54.5157421 | [GetResourceAsync] - for Resource '104/1010117'; Try get Manifest-file Finished 00:00:00.0000423;
 Debug   | 2017-02-20T14:57:04.9037172+07:00 | 0:00:00:00.0320475 | 00:00:54.5477896 | [GetResourceAsync] - for Resource '102/112'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:04.9037172+07:00 | 0:00:00:00.0000000 | 00:00:54.5477896 | [GetResourceAsync] - for Resource '102/112'; Try get Manifest-file Finished 00:00:00.0009258;
 Debug   | 2017-02-20T14:57:04.9081913+07:00 | 0:00:00:00.0044741 | 00:00:54.5522637 | [GetResourceAsync] - for Resource '104/1010117'; Try download Resource Started;
 Debug   | 2017-02-20T14:57:04.9131991+07:00 | 0:00:00:00.0050078 | 00:00:54.5572715 | [GetResourceAsync] - for Resource '102/112'; Try download Resource Started;
 Debug   | 2017-02-20T14:57:05.0243970+07:00 | 0:00:00:00.1111979 | 00:00:54.6684694 | [GetResourceAsync] - for Resource '103/101'; Getting took 0:00:00:44.4921852;
 Debug   | 2017-02-20T14:57:05.0624256+07:00 | 0:00:00:00.0380286 | 00:00:54.7064980 | [GetResourceAsync] - for Resource '103/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:05.0624256+07:00 | 0:00:00:00.0000000 | 00:00:54.7064980 | [GetResourceAsync] - for Resource '103/101'; Try get Manifest-file Finished 00:00:00.0001253;
 Debug   | 2017-02-20T14:57:05.1589857+07:00 | 0:00:00:00.0965601 | 00:00:54.8030581 | [GetResourceAsync] - for Resource '103/101'; Resource found in Cache;
